KABAALE SCHOOL OF COMPREHENSIVE NURSING - MOCK VOTER REGISTRY
Total Voters: 627
Default Password: password123
====================================================================================================
#    | REG NUMBER         | NAME                      | GENDER   | YEAR     | COURSE
----------------------------------------------------------------------------------------------------
001  | 25/U/1000/EVE      | John Akullo               | Female   | Year 1   | Nursing (Certificate)
027  | 23/U/1026/EVE      | Thomas Babirye            | Female   | Year 3   | Midwifery (Certificate)
028  | 25/U/1027/EVE      | Robert Mugisha            | Female   | Year 1   | Midwifery (Diploma)
029  | 24/U/1028/EVE      | Karen Tumusiime           | Male     | Year 2   | Nursing (Certificate)
030  | 23/U/1029/EVE      | John Nantongo             | Female   | Year 3   | Nursing (Diploma)
031  | 25/U/1030/EVE      | Linda Akullo              | Male     | Year 1   | Midwifery (Certificate)
032  | 24/U/1031/EVE      | Michael Ochieng           | Female   | Year 2   | Midwifery (Diploma)
033  | 23/U/1032/EVE      | Sarah Mugisha             | Female   | Year 3   | Nursing (Certificate)
034  | 25/U/1033/EVE      | Thomas Nakato             | Male     | Year 1   | Nursing (Diploma)
035  | 24/U/1034/EVE      | Patricia Tumusiime        | Male     | Year 2   | Midwifery (Certificate)
036  | 23/U/1035/EVE      | Jessica Kato              | Male     | Year 3   | Midwifery (Diploma)
037  | 25/U/1036/EVE      | Thomas Babirye            | Female   | Year 1   | Nursing (Certificate)
038  | 24/U/1037/EVE      | Robert Okello             | Female   | Year 2   | Nursing (Diploma)
039  | 23/U/1038/EVE      | Karen Babirye             | Female   | Year 3   | Midwifery (Certificate)
040  | 25/U/1039/EVE      | Jennifer Lubega           | Female   | Year 1   | Midwifery (Diploma)
041  | 24/U/1040/EVE      | Jessica Mugisha           | Female   | Year 2   | Nursing (Certificate)
042  | 23/U/1041/EVE      | Elizabeth Nakato          | Female   | Year 3   | Nursing (Diploma)
043  | 25/U/1042/EVE      | Mariam Namakula           | Male     | Year 1   | Midwifery (Certificate)
044  | 24/U/1043/EVE      | Jennifer Kato             | Female   | Year 2   | Midwifery (Diploma)
045  | 23/U/1044/EVE      | Barbara Lubega            | Male     | Year 3   | Nursing (Certificate)
046  | 25/U/1045/EVE      | Elizabeth Nakato          | Female   | Year 1   | Nursing (Diploma)
047  | 24/U/1046/EVE      | Charles Nakato            | Female   | Year 2   | Midwifery (Certificate)
048  | 23/U/1047/EVE      | Jessica Nakato            | Female   | Year 3   | Midwifery (Diploma)
049  | 25/U/1048/EVE      | Richard Kato              | Female   | Year 1   | Nursing (Certificate)
050  | 24/U/1049/EVE      | Elizabeth Akullo          | Female   | Year 2   | Nursing (Diploma)
051  | 23/U/1050/EVE      | Susan Namakula            | Female   | Year 3   | Midwifery (Certificate)
052  | 25/U/1051/EVE      | Elizabeth Tumusiime       | Female   | Year 1   | Midwifery (Diploma)
053  | 24/U/1052/EVE      | Jessica Ochieng           | Male     | Year 2   | Nursing (Certificate)
054  | 23/U/1053/EVE      | Jessica Babirye           | Female   | Year 3   | Nursing (Diploma)
055  | 25/U/1054/EVE      | Joseph Okello             | Female   | Year 1   | Midwifery (Certificate)
056  | 24/U/1055/EVE      | Susan Musoke              | Female   | Year 2   | Midwifery (Diploma)
057  | 23/U/1056/EVE      | Susan Nantongo            | Female   | Year 3   | Nursing (Certificate)
058  | 25/U/1057/EVE      | Charles Tumusiime         | Male     | Year 1   | Nursing (Diploma)
059  | 24/U/1058/EVE      | William Akullo            | Female   | Year 2   | Midwifery (Certificate)
060  | 23/U/1059/EVE      | William Nakato            | Female   | Year 3   | Midwifery (Diploma)
061  | 25/U/1060/EVE      | Michael Namakula          | Female   | Year 1   | Nursing (Certificate)
062  | 24/U/1061/EVE      | William Byaruhanga        | Female   | Year 2   | Nursing (Diploma)
063  | 23/U/1062/EVE      | Sarah Nantongo            | Female   | Year 3   | Midwifery (Certificate)
064  | 25/U/1063/EVE      | Sarah Akullo              | Male     | Year 1   | Midwifery (Diploma)
065  | 24/U/1064/EVE      | William Kato              | Female   | Year 2   | Nursing (Certificate)
066  | 23/U/1065/EVE      | Patricia Ochieng          | Male     | Year 3   | Nursing (Diploma)
067  | 25/U/1066/EVE      | Karen Mugisha             | Male     | Year 1   | Midwifery (Certificate)
068  | 24/U/1067/EVE      | Michael Babirye           | Female   | Year 2   | Midwifery (Diploma)
069  | 23/U/1068/EVE      | Linda Mugisha             | Female   | Year 3   | Nursing (Certificate)
070  | 25/U/1069/EVE      | William Mugisha           | Female   | Year 1   | Nursing (Diploma)
071  | 24/U/1070/EVE      | Joseph Ochieng            | Female   | Year 2   | Midwifery (Certificate)
072  | 23/U/1071/EVE      | David Nakato              | Male     | Year 3   | Midwifery (Diploma)
073  | 25/U/1072/EVE      | Karen Lubega              | Female   | Year 1   | Nursing (Certificate)
074  | 24/U/1073/EVE      | Barbara Nantongo          | Male     | Year 2   | Nursing (Diploma)
075  | 23/U/1074/EVE      | David Byaruhanga          | Male     | Year 3   | Midwifery (Certificate)
076  | 25/U/1075/EVE      | John Tumusiime            | Male     | Year 1   | Midwifery (Diploma)
077  | 24/U/1076/EVE      | John Babirye              | Male     | Year 2   | Nursing (Certificate)
078  | 23/U/1077/EVE      | Sarah Byaruhanga          | Male     | Year 3   | Nursing (Diploma)
079  | 25/U/1078/EVE      | Susan Tumusiime           | Male     | Year 1   | Midwifery (Certificate)
080  | 24/U/1079/EVE      | Mariam Tumusiime          | Female   | Year 2   | Midwifery (Diploma)
081  | 23/U/1080/EVE      | Elizabeth Tumusiime       | Male     | Year 3   | Nursing (Certificate)
082  | 25/U/1081/EVE      | David Tumusiime           | Female   | Year 1   | Nursing (Diploma)
083  | 24/U/1082/EVE      | Robert Lubega             | Female   | Year 2   | Midwifery (Certificate)
084  | 23/U/1083/EVE      | Mariam Mugisha            | Female   | Year 3   | Midwifery (Diploma)
085  | 25/U/1084/EVE      | Charles Mugisha           | Male     | Year 1   | Nursing (Certificate)
086  | 24/U/1085/EVE      | William Akullo            | Female   | Year 2   | Nursing (Diploma)
087  | 23/U/1086/EVE      | Charles Byaruhanga        | Female   | Year 3   | Midwifery (Certificate)
088  | 25/U/1087/EVE      | James Byaruhanga          | Female   | Year 1   | Midwifery (Diploma)
089  | 24/U/1088/EVE      | Karen Nakato              | Male     | Year 2   | Nursing (Certificate)
090  | 23/U/1089/EVE      | Susan Nantongo            | Male     | Year 3   | Nursing (Diploma)
091  | 25/U/1090/EVE      | Linda Lubega              | Male     | Year 1   | Midwifery (Certificate)
092  | 24/U/1091/EVE      | Robert Nantongo           | Male     | Year 2   | Midwifery (Diploma)
093  | 23/U/1092/EVE      | Jessica Nakato            | Female   | Year 3   | Nursing (Certificate)
094  | 25/U/1093/EVE      | Jennifer Kato             | Female   | Year 1   | Nursing (Diploma)
095  | 24/U/1094/EVE      | Sarah Mugisha             | Male     | Year 2   | Midwifery (Certificate)
096  | 23/U/1095/EVE      | James Byaruhanga          | Female   | Year 3   | Midwifery (Diploma)
097  | 25/U/1096/EVE      | John Akullo               | Female   | Year 1   | Nursing (Certificate)
098  | 24/U/1097/EVE      | James Kato                | Male     | Year 2   | Nursing (Diploma)
099  | 23/U/1098/EVE      | John Nantongo             | Male     | Year 3   | Midwifery (Certificate)
100  | 25/U/1099/EVE      | Michael Lubega            | Male     | Year 1   | Midwifery (Diploma)
101  | 24/U/1100/EVE      | Karen Nakato              | Female   | Year 2   | Nursing (Certificate)
102  | 23/U/1101/EVE      | Patricia Babirye          | Male     | Year 3   | Nursing (Diploma)
103  | 25/U/1102/EVE      | Robert Lubega             | Female   | Year 1   | Midwifery (Certificate)
104  | 24/U/1103/EVE      | Elizabeth Musoke          | Female   | Year 2   | Midwifery (Diploma)
105  | 23/U/1104/EVE      | John Nantongo             | Female   | Year 3   | Nursing (Certificate)
106  | 25/U/1105/EVE      | Charles Musoke            | Female   | Year 1   | Nursing (Diploma)
107  | 24/U/1106/EVE      | Thomas Namakula           | Female   | Year 2   | Midwifery (Certificate)
108  | 23/U/1107/EVE      | Patricia Namakula         | Male     | Year 3   | Midwifery (Diploma)
109  | 25/U/1108/EVE      | Richard Akullo            | Male     | Year 1   | Nursing (Certificate)
110  | 24/U/1109/EVE      | Elizabeth Byaruhanga      | Female   | Year 2   | Nursing (Diploma)
111  | 23/U/1110/EVE      | Karen Mugisha             | Female   | Year 3   | Midwifery (Certificate)
112  | 25/U/1111/EVE      | Barbara Musoke            | Female   | Year 1   | Midwifery (Diploma)
113  | 24/U/1112/EVE      | Karen Musoke              | Male     | Year 2   | Nursing (Certificate)
114  | 23/U/1113/EVE      | Linda Namakula            | Male     | Year 3   | Nursing (Diploma)
115  | 25/U/1114/EVE      | Robert Lubega             | Male     | Year 1   | Midwifery (Certificate)
116  | 24/U/1115/EVE      | Elizabeth Musoke          | Female   | Year 2   | Midwifery (Diploma)
117  | 23/U/1116/EVE      | Charles Musoke            | Male     | Year 3   | Nursing (Certificate)
118  | 25/U/1117/EVE      | William Namakula          | Female   | Year 1   | Nursing (Diploma)
119  | 24/U/1118/EVE      | Linda Tumusiime           | Female   | Year 2   | Midwifery (Certificate)
120  | 23/U/1119/EVE      | Patricia Namakula         | Female   | Year 3   | Midwifery (Diploma)
121  | 25/U/1120/EVE      | Patricia Lubega           | Male     | Year 1   | Nursing (Certificate)
122  | 24/U/1121/EVE      | Patricia Byaruhanga       | Female   | Year 2   | Nursing (Diploma)
123  | 23/U/1122/EVE      | Michael Nantongo          | Female   | Year 3   | Midwifery (Certificate)
124  | 25/U/1123/EVE      | Charles Lubega            | Female   | Year 1   | Midwifery (Diploma)
125  | 24/U/1124/EVE      | Susan Okello              | Female   | Year 2   | Nursing (Certificate)
126  | 23/U/1125/EVE      | Linda Nakato              | Female   | Year 3   | Nursing (Diploma)
127  | 25/U/1126/EVE      | Elizabeth Byaruhanga      | Female   | Year 1   | Midwifery (Certificate)
128  | 24/U/1127/EVE      | John Babirye              | Male     | Year 2   | Midwifery (Diploma)
129  | 23/U/1128/EVE      | Jessica Ochieng           | Male     | Year 3   | Nursing (Certificate)
130  | 25/U/1129/EVE      | Karen Babirye             | Female   | Year 1   | Nursing (Diploma)
131  | 24/U/1130/EVE      | Linda Tumusiime           | Female   | Year 2   | Midwifery (Certificate)
132  | 23/U/1131/EVE      | Charles Babirye           | Male     | Year 3   | Midwifery (Diploma)
133  | 25/U/1132/EVE      | John Nantongo             | Male     | Year 1   | Nursing (Certificate)
134  | 24/U/1133/EVE      | Elizabeth Okello          | Female   | Year 2   | Nursing (Diploma)
135  | 23/U/1134/EVE      | Michael Babirye           | Male     | Year 3   | Midwifery (Certificate)
136  | 25/U/1135/EVE      | Richard Mugisha           | Female   | Year 1   | Midwifery (Diploma)
137  | 24/U/1136/EVE      | David Musoke              | Male     | Year 2   | Nursing (Certificate)
138  | 23/U/1137/EVE      | Jessica Babirye           | Male     | Year 3   | Nursing (Diploma)
139  | 25/U/1138/EVE      | Jessica Nakato            | Male     | Year 1   | Midwifery (Certificate)
140  | 24/U/1139/EVE      | Sarah Akullo              | Female   | Year 2   | Midwifery (Diploma)
141  | 23/U/1140/EVE      | Susan Okello              | Male     | Year 3   | Nursing (Certificate)
142  | 25/U/1141/EVE      | Robert Akullo             | Female   | Year 1   | Nursing (Diploma)
143  | 24/U/1142/EVE      | Jennifer Okello           | Male     | Year 2   | Midwifery (Certificate)
144  | 23/U/1143/EVE      | Patricia Nantongo         | Male     | Year 3   | Midwifery (Diploma)
145  | 25/U/1144/EVE      | Karen Lubega              | Female   | Year 1   | Nursing (Certificate)
146  | 24/U/1145/EVE      | John Tumusiime            | Female   | Year 2   | Nursing (Diploma)
147  | 23/U/1146/EVE      | Robert Tumusiime          | Female   | Year 3   | Midwifery (Certificate)
148  | 25/U/1147/EVE      | Mariam Namakula           | Female   | Year 1   | Midwifery (Diploma)
149  | 24/U/1148/EVE      | Jennifer Ochieng          | Female   | Year 2   | Nursing (Certificate)
150  | 23/U/1149/EVE      | David Tumusiime           | Male     | Year 3   | Nursing (Diploma)
151  | 25/U/1150/EVE      | David Nantongo            | Female   | Year 1   | Midwifery (Certificate)
152  | 24/U/1151/EVE      | Joseph Mugisha            | Female   | Year 2   | Midwifery (Diploma)
153  | 23/U/1152/EVE      | Michael Ochieng           | Female   | Year 3   | Nursing (Certificate)
154  | 25/U/1153/EVE      | Barbara Tumusiime         | Female   | Year 1   | Nursing (Diploma)
155  | 24/U/1154/EVE      | Jessica Ochieng           | Female   | Year 2   | Midwifery (Certificate)
156  | 23/U/1155/EVE      | Thomas Mugisha            | Male     | Year 3   | Midwifery (Diploma)
157  | 25/U/1156/EVE      | Patricia Tumusiime        | Female   | Year 1   | Nursing (Certificate)
158  | 24/U/1157/EVE      | Robert Akullo             | Female   | Year 2   | Nursing (Diploma)
159  | 23/U/1158/EVE      | David Okello              | Female   | Year 3   | Midwifery (Certificate)
160  | 25/U/1159/EVE      | Jessica Kato              | Male     | Year 1   | Midwifery (Diploma)
161  | 24/U/1160/EVE      | Robert Byaruhanga         | Female   | Year 2   | Nursing (Certificate)
162  | 23/U/1161/EVE      | Linda Kato                | Female   | Year 3   | Nursing (Diploma)
163  | 25/U/1162/EVE      | Barbara Musoke            | Female   | Year 1   | Midwifery (Certificate)
164  | 24/U/1163/EVE      | Richard Nakato            | Male     | Year 2   | Midwifery (Diploma)
165  | 23/U/1164/EVE      | Joseph Tumusiime          | Female   | Year 3   | Nursing (Certificate)
166  | 25/U/1165/EVE      | John Lubega               | Female   | Year 1   | Nursing (Diploma)
167  | 24/U/1166/EVE      | Linda Byaruhanga          | Female   | Year 2   | Midwifery (Certificate)
168  | 23/U/1167/EVE      | Linda Okello              | Female   | Year 3   | Midwifery (Diploma)
169  | 25/U/1168/EVE      | John Musoke               | Male     | Year 1   | Nursing (Certificate)
170  | 24/U/1169/EVE      | Susan Namakula            | Female   | Year 2   | Nursing (Diploma)
171  | 23/U/1170/EVE      | Patricia Namakula         | Male     | Year 3   | Midwifery (Certificate)
172  | 25/U/1171/EVE      | Karen Tumusiime           | Male     | Year 1   | Midwifery (Diploma)
173  | 24/U/1172/EVE      | David Akullo              | Male     | Year 2   | Nursing (Certificate)
174  | 23/U/1173/EVE      | Mariam Babirye            | Male     | Year 3   | Nursing (Diploma)
175  | 25/U/1174/EVE      | Charles Babirye           | Female   | Year 1   | Midwifery (Certificate)
176  | 24/U/1175/EVE      | Sarah Nakato              | Female   | Year 2   | Midwifery (Diploma)
177  | 23/U/1176/EVE      | Robert Tumusiime          | Female   | Year 3   | Nursing (Certificate)
178  | 25/U/1177/EVE      | David Lubega              | Female   | Year 1   | Nursing (Diploma)
179  | 24/U/1178/EVE      | Michael Akullo            | Female   | Year 2   | Midwifery (Certificate)
180  | 23/U/1179/EVE      | Mariam Mugisha            | Male     | Year 3   | Midwifery (Diploma)
181  | 25/U/1180/EVE      | William Tumusiime         | Male     | Year 1   | Nursing (Certificate)
182  | 24/U/1181/EVE      | Patricia Akullo           | Male     | Year 2   | Nursing (Diploma)
183  | 23/U/1182/EVE      | Sarah Babirye             | Male     | Year 3   | Midwifery (Certificate)
184  | 25/U/1183/EVE      | Jessica Akullo            | Male     | Year 1   | Midwifery (Diploma)
185  | 24/U/1184/EVE      | Barbara Musoke            | Female   | Year 2   | Nursing (Certificate)
186  | 23/U/1185/EVE      | Joseph Okello             | Female   | Year 3   | Nursing (Diploma)
187  | 25/U/1186/EVE      | Jennifer Tumusiime        | Female   | Year 1   | Midwifery (Certificate)
188  | 24/U/1187/EVE      | John Nantongo             | Female   | Year 2   | Midwifery (Diploma)
189  | 23/U/1188/EVE      | Charles Kato              | Female   | Year 3   | Nursing (Certificate)
190  | 25/U/1189/EVE      | Sarah Nakato              | Female   | Year 1   | Nursing (Diploma)
191  | 24/U/1190/EVE      | Sarah Ochieng             | Male     | Year 2   | Midwifery (Certificate)
192  | 23/U/1191/EVE      | William Lubega            | Female   | Year 3   | Midwifery (Diploma)
193  | 25/U/1192/EVE      | Robert Nakato             | Female   | Year 1   | Nursing (Certificate)
194  | 24/U/1193/EVE      | Robert Tumusiime          | Male     | Year 2   | Nursing (Diploma)
195  | 23/U/1194/EVE      | Karen Babirye             | Female   | Year 3   | Midwifery (Certificate)
196  | 25/U/1195/EVE      | Joseph Namakula           | Male     | Year 1   | Midwifery (Diploma)
197  | 24/U/1196/EVE      | David Okello              | Female   | Year 2   | Nursing (Certificate)
198  | 23/U/1197/EVE      | Linda Tumusiime           | Female   | Year 3   | Nursing (Diploma)
199  | 25/U/1198/EVE      | Susan Okello              | Female   | Year 1   | Midwifery (Certificate)
200  | 24/U/1199/EVE      | Barbara Namakula          | Female   | Year 2   | Midwifery (Diploma)
201  | 23/U/1200/EVE      | William Kato              | Female   | Year 3   | Nursing (Certificate)
202  | 25/U/1201/EVE      | William Babirye           | Male     | Year 1   | Nursing (Diploma)
203  | 24/U/1202/EVE      | Linda Nantongo            | Female   | Year 2   | Midwifery (Certificate)
204  | 23/U/1203/EVE      | Joseph Babirye            | Male     | Year 3   | Midwifery (Diploma)
205  | 25/U/1204/EVE      | Elizabeth Musoke          | Male     | Year 1   | Nursing (Certificate)
206  | 24/U/1205/EVE      | Joseph Okello             | Male     | Year 2   | Nursing (Diploma)
207  | 23/U/1206/EVE      | Charles Kato              | Female   | Year 3   | Midwifery (Certificate)
208  | 25/U/1207/EVE      | Mariam Akullo             | Male     | Year 1   | Midwifery (Diploma)
209  | 24/U/1208/EVE      | Robert Namakula           | Male     | Year 2   | Nursing (Certificate)
210  | 23/U/1209/EVE      | Richard Lubega            | Female   | Year 3   | Nursing (Diploma)
211  | 25/U/1210/EVE      | John Akullo               | Female   | Year 1   | Midwifery (Certificate)
212  | 24/U/1211/EVE      | William Nakato            | Female   | Year 2   | Midwifery (Diploma)
213  | 23/U/1212/EVE      | Patricia Akullo           | Male     | Year 3   | Nursing (Certificate)
214  | 25/U/1213/EVE      | Karen Tumusiime           | Female   | Year 1   | Nursing (Diploma)
215  | 24/U/1214/EVE      | Charles Okello            | Male     | Year 2   | Midwifery (Certificate)
216  | 23/U/1215/EVE      | Joseph Nakato             | Female   | Year 3   | Midwifery (Diploma)
217  | 25/U/1216/EVE      | Thomas Lubega             | Male     | Year 1   | Nursing (Certificate)
218  | 24/U/1217/EVE      | Jennifer Nantongo         | Female   | Year 2   | Nursing (Diploma)
219  | 23/U/1218/EVE      | Elizabeth Byaruhanga      | Female   | Year 3   | Midwifery (Certificate)
220  | 25/U/1219/EVE      | Jennifer Lubega           | Male     | Year 1   | Midwifery (Diploma)
221  | 24/U/1220/EVE      | Joseph Nakato             | Female   | Year 2   | Nursing (Certificate)
222  | 23/U/1221/EVE      | Joseph Kato               | Female   | Year 3   | Nursing (Diploma)
223  | 25/U/1222/EVE      | Thomas Mugisha            | Male     | Year 1   | Midwifery (Certificate)
224  | 24/U/1223/EVE      | Michael Kato              | Female   | Year 2   | Midwifery (Diploma)
225  | 23/U/1224/EVE      | Jennifer Okello           | Female   | Year 3   | Nursing (Certificate)
226  | 25/U/1225/EVE      | Mariam Babirye            | Female   | Year 1   | Nursing (Diploma)
227  | 24/U/1226/EVE      | David Babirye             | Male     | Year 2   | Midwifery (Certificate)
228  | 23/U/1227/EVE      | Jessica Musoke            | Female   | Year 3   | Midwifery (Diploma)
229  | 25/U/1228/EVE      | Elizabeth Musoke          | Female   | Year 1   | Nursing (Certificate)
230  | 24/U/1229/EVE      | Robert Byaruhanga         | Female   | Year 2   | Nursing (Diploma)
231  | 23/U/1230/EVE      | Jessica Akullo            | Female   | Year 3   | Midwifery (Certificate)
232  | 25/U/1231/EVE      | David Mugisha             | Female   | Year 1   | Midwifery (Diploma)
233  | 24/U/1232/EVE      | Robert Musoke             | Male     | Year 2   | Nursing (Certificate)
234  | 23/U/1233/EVE      | Jessica Akullo            | Male     | Year 3   | Nursing (Diploma)
235  | 25/U/1234/EVE      | John Nakato               | Female   | Year 1   | Midwifery (Certificate)
236  | 24/U/1235/EVE      | Joseph Kato               | Female   | Year 2   | Midwifery (Diploma)
237  | 23/U/1236/EVE      | Richard Nantongo          | Female   | Year 3   | Nursing (Certificate)
238  | 25/U/1237/EVE      | Joseph Nakato             | Male     | Year 1   | Nursing (Diploma)
239  | 24/U/1238/EVE      | Linda Akullo              | Male     | Year 2   | Midwifery (Certificate)
240  | 23/U/1239/EVE      | James Musoke              | Male     | Year 3   | Midwifery (Diploma)
241  | 25/U/1240/EVE      | Jennifer Mugisha          | Female   | Year 1   | Nursing (Certificate)
242  | 24/U/1241/EVE      | David Nantongo            | Female   | Year 2   | Nursing (Diploma)
243  | 23/U/1242/EVE      | John Tumusiime            | Female   | Year 3   | Midwifery (Certificate)
244  | 25/U/1243/EVE      | Barbara Nantongo          | Male     | Year 1   | Midwifery (Diploma)
245  | 24/U/1244/EVE      | Mariam Babirye            | Female   | Year 2   | Nursing (Certificate)
246  | 23/U/1245/EVE      | Elizabeth Namakula        | Female   | Year 3   | Nursing (Diploma)
247  | 25/U/1246/EVE      | John Nantongo             | Female   | Year 1   | Midwifery (Certificate)
248  | 24/U/1247/EVE      | Sarah Babirye             | Male     | Year 2   | Midwifery (Diploma)
249  | 23/U/1248/EVE      | Susan Mugisha             | Female   | Year 3   | Nursing (Certificate)
250  | 25/U/1249/EVE      | Robert Nantongo           | Female   | Year 1   | Nursing (Diploma)
251  | 24/U/1250/EVE      | Michael Okello            | Male     | Year 2   | Midwifery (Certificate)
252  | 23/U/1251/EVE      | Patricia Babirye          | Male     | Year 3   | Midwifery (Diploma)
253  | 25/U/1252/EVE      | John Okello               | Male     | Year 1   | Nursing (Certificate)
254  | 24/U/1253/EVE      | Jennifer Mugisha          | Male     | Year 2   | Nursing (Diploma)
255  | 23/U/1254/EVE      | Karen Nantongo            | Male     | Year 3   | Midwifery (Certificate)
256  | 25/U/1255/EVE      | Jennifer Babirye          | Female   | Year 1   | Midwifery (Diploma)
257  | 24/U/1256/EVE      | Patricia Tumusiime        | Male     | Year 2   | Nursing (Certificate)
258  | 23/U/1257/EVE      | William Nantongo          | Male     | Year 3   | Nursing (Diploma)
259  | 25/U/1258/EVE      | David Musoke              | Male     | Year 1   | Midwifery (Certificate)
260  | 24/U/1259/EVE      | William Okello            | Female   | Year 2   | Midwifery (Diploma)
261  | 23/U/1260/EVE      | Elizabeth Akullo          | Female   | Year 3   | Nursing (Certificate)
262  | 25/U/1261/EVE      | Michael Mugisha           | Female   | Year 1   | Nursing (Diploma)
263  | 24/U/1262/EVE      | Barbara Babirye           | Female   | Year 2   | Midwifery (Certificate)
264  | 23/U/1263/EVE      | Elizabeth Namakula        | Female   | Year 3   | Midwifery (Diploma)
265  | 25/U/1264/EVE      | Robert Mugisha            | Female   | Year 1   | Nursing (Certificate)
266  | 24/U/1265/EVE      | Elizabeth Okello          | Female   | Year 2   | Nursing (Diploma)
267  | 23/U/1266/EVE      | Charles Mugisha           | Female   | Year 3   | Midwifery (Certificate)
268  | 25/U/1267/EVE      | Jennifer Babirye          | Female   | Year 1   | Midwifery (Diploma)
269  | 24/U/1268/EVE      | James Kato                | Male     | Year 2   | Nursing (Certificate)
270  | 23/U/1269/EVE      | Michael Babirye           | Male     | Year 3   | Nursing (Diploma)
271  | 25/U/1270/EVE      | David Namakula            | Female   | Year 1   | Midwifery (Certificate)
272  | 24/U/1271/EVE      | Sarah Nakato              | Female   | Year 2   | Midwifery (Diploma)
273  | 23/U/1272/EVE      | Thomas Tumusiime          | Female   | Year 3   | Nursing (Certificate)
274  | 25/U/1273/EVE      | Thomas Ochieng            | Male     | Year 1   | Nursing (Diploma)
275  | 24/U/1274/EVE      | Karen Lubega              | Female   | Year 2   | Midwifery (Certificate)
276  | 23/U/1275/EVE      | Thomas Byaruhanga         | Male     | Year 3   | Midwifery (Diploma)
277  | 25/U/1276/EVE      | Joseph Nantongo           | Female   | Year 1   | Nursing (Certificate)
278  | 24/U/1277/EVE      | Thomas Mugisha            | Female   | Year 2   | Nursing (Diploma)
279  | 23/U/1278/EVE      | John Ochieng              | Female   | Year 3   | Midwifery (Certificate)
280  | 25/U/1279/EVE      | Linda Lubega              | Female   | Year 1   | Midwifery (Diploma)
281  | 24/U/1280/EVE      | Michael Nakato            | Female   | Year 2   | Nursing (Certificate)
282  | 23/U/1281/EVE      | Michael Okello            | Female   | Year 3   | Nursing (Diploma)
283  | 25/U/1282/EVE      | John Namakula             | Female   | Year 1   | Midwifery (Certificate)
284  | 24/U/1283/EVE      | James Ochieng             | Female   | Year 2   | Midwifery (Diploma)
285  | 23/U/1284/EVE      | Charles Ochieng           | Male     | Year 3   | Nursing (Certificate)
286  | 25/U/1285/EVE      | Elizabeth Babirye         | Male     | Year 1   | Nursing (Diploma)
287  | 24/U/1286/EVE      | William Okello            | Female   | Year 2   | Midwifery (Certificate)
288  | 23/U/1287/EVE      | Elizabeth Mugisha         | Female   | Year 3   | Midwifery (Diploma)
289  | 25/U/1288/EVE      | Robert Ochieng            | Male     | Year 1   | Nursing (Certificate)
290  | 24/U/1289/EVE      | Linda Ochieng             | Female   | Year 2   | Nursing (Diploma)
